
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  UDP    127.0.0.1:65294        *:*                                    10516
  UDP    127.0.0.1:65307        *:*                                    9580
  UDP    192.168.0.162:137      *:*                                    4
  UDP    192.168.0.162:138      *:*                                    4
  UDP    192.168.0.162:1900     *:*                                    9580
  UDP    192.168.0.162:62695    *:*                                    20832
  UDP    192.168.0.162:65306    *:*                                    9580
  UDP    [::]:123               *:*                                    1848
  UDP    [::]:5353              *:*                                    5816
  UDP    [::]:5353              *:*                                    3084
  UDP    [::]:5355              *:*                                    3084
  UDP    [::]:36450             *:*                                    20832
  UDP    [::]:53525             *:*                                    5692
  UDP    [::]:53933             *:*                                    3084
  UDP    [::1]:1900             *:*                                    9580
  UDP    [::1]:65305            *:*                                    9580
  UDP    [fe80::38db:9e6e:f7fe:44%9]:1900  *:*                                    9580
  UDP    [fe80::38db:9e6e:f7fe:44%9]:5353  *:*                                    5692
  UDP    [fe80::38db:9e6e:f7fe:44%9]:65304  *:*                                    9580
